Wavelength (nm),ITOsput017E20_n,ITOsput017E20_k
1310,1.991,0.00429
1315,1.991,0.00434
1320,1.99,0.00439
1325,1.99,0.00444
1330,1.99,0.00449
1335,1.99,0.00454
1340,1.989,0.00459
1345,1.989,0.00464
1350,1.989,0.00469
1355,1.988,0.00474
1360,1.988,0.0048
1365,1.988,0.00485
1370,1.987,0.0049
1375,1.987,0.00495
1380,1.987,0.00501
1385,1.987,0.00506
1390,1.986,0.00512
1395,1.986,0.00517
1400,1.986,0.00523
1405,1.986,0.00528
1410,1.985,0.00534
1415,1.985,0.00539
1420,1.985,0.00545
1425,1.984,0.00551
1430,1.984,0.00556
1435,1.984,0.00562
1440,1.984,0.00568
1445,1.983,0.00574
1450,1.983,0.0058
1455,1.983,0.00586
1460,1.982,0.00592
1465,1.982,0.00598
1470,1.982,0.00604
1475,1.982,0.0061
1480,1.981,0.00616
1485,1.981,0.00622
1490,1.981,0.00628
1495,1.981,0.00635
1500,1.98,0.00641
1505,1.98,0.00647
1510,1.98,0.00654
1515,1.979,0.0066
1520,1.979,0.00666
1525,1.979,0.00673
1530,1.979,0.00679
1535,1.978,0.00686
1540,1.978,0.00693
1545,1.978,0.00699
1550,1.978,0.00706
1555,1.977,0.00713
1560,1.977,0.0072
1565,1.977,0.00726
1570,1.976,0.00733
1575,1.976,0.0074
1580,1.976,0.00747
1585,1.976,0.00754
1590,1.975,0.00761
1595,1.975,0.00768
1600,1.975,0.00775
1605,1.975,0.00782
1610,1.974,0.00789
1615,1.974,0.00797
1620,1.974,0.00804
1625,1.974,0.00811
1630,1.973,0.00819
1635,1.973,0.00826
1640,1.973,0.00834
1645,1.972,0.00841
1650,1.972,0.00849
1655,1.972,0.00856
1660,1.972,0.00864
1665,1.971,0.00872
1670,1.971,0.00879
1675,1.971,0.00887
1680,1.971,0.00895
1685,1.97,0.00903
1690,1.97,0.0091
1695,1.97,0.00918
1700,1.969,0.00926
1705,1.969,0.00934
1710,1.969,0.00942
1715,1.969,0.0095
1720,1.968,0.00959
1725,1.968,0.00967
1730,1.968,0.00975
1735,1.968,0.00983
1740,1.967,0.00992
1745,1.967,0.01
1750,1.967,0.01009
1755,1.967,0.01017
1760,1.966,0.01026
1765,1.966,0.01034
1770,1.966,0.01043
1775,1.965,0.01051
1780,1.965,0.0106
1785,1.965,0.01069
1790,1.965,0.01077
1795,1.964,0.01086
1800,1.964,0.01095
1805,1.964,0.01104
1810,1.964,0.01113
1815,1.963,0.01122
1820,1.963,0.01131
1825,1.963,0.0114
1830,1.963,0.01149
1835,1.962,0.01159
1840,1.962,0.01168
1845,1.962,0.01177
1850,1.961,0.01186
1855,1.961,0.01196
1860,1.961,0.01205
1865,1.961,0.01215
1870,1.96,0.01224
1875,1.96,0.01234
1880,1.96,0.01243
1885,1.96,0.01253
1890,1.959,0.01263
1895,1.959,0.01273
1900,1.959,0.01282
1905,1.958,0.01292
1910,1.958,0.01302
1915,1.958,0.01312
1920,1.958,0.01322
1925,1.957,0.01332
1930,1.957,0.01342
1935,1.957,0.01352
1940,1.957,0.01363
1945,1.956,0.01373
1950,1.956,0.01383
1955,1.956,0.01393
1960,1.956,0.01404
1965,1.955,0.01414
1970,1.955,0.01425
1975,1.955,0.01435
1980,1.954,0.01446
1985,1.954,0.01457
1990,1.954,0.01467
1995,1.954,0.01478
2000,1.953,0.01489
