Wavelength (nm),IOHcrystallized_n,IOHcrystallized_k
921,1.897,0.008282
922.6,1.897,0.008326
924.2,1.896,0.008371
925.7,1.896,0.008415
927.3,1.895,0.00846
928.9,1.895,0.008505
930.4,1.894,0.008551
932,1.894,0.008596
933.6,1.893,0.008642
935.1,1.893,0.008688
936.7,1.892,0.008734
938.3,1.892,0.00878
939.8,1.891,0.008826
941.4,1.891,0.008873
943,1.89,0.008919
944.6,1.89,0.008966
946.1,1.889,0.009013
947.7,1.888,0.00906
949.3,1.888,0.009108
950.8,1.887,0.009155
952.4,1.887,0.009203
954,1.886,0.009251
955.5,1.886,0.009299
957.1,1.885,0.009347
958.7,1.885,0.009395
960.2,1.884,0.009444
961.8,1.884,0.009493
963.4,1.883,0.009542
964.9,1.883,0.009591
966.5,1.882,0.00964
968.1,1.882,0.00969
969.6,1.881,0.009739
971.2,1.88,0.009789
972.8,1.88,0.009839
974.3,1.879,0.009889
975.9,1.879,0.00994
977.5,1.878,0.00999
979,1.878,0.01004
980.6,1.877,0.01009
982.1,1.877,0.01014
983.7,1.876,0.01019
985.3,1.876,0.01025
986.8,1.875,0.0103
988.4,1.874,0.01035
990,1.874,0.0104
991.5,1.873,0.01045
993.1,1.873,0.01051
994.7,1.872,0.01056
996.2,1.872,0.01061
997.8,1.871,0.01066
999.3,1.871,0.01072
1010,1.867,0.01109
1013,1.866,0.0112
1017,1.865,0.01132
1020,1.863,0.01144
1023,1.862,0.01156
1027,1.861,0.01168
1030,1.86,0.01181
1034,1.859,0.01193
1037,1.857,0.01205
1040,1.856,0.01218
1044,1.855,0.0123
1047,1.854,0.01243
1050,1.853,0.01256
1054,1.851,0.01269
1057,1.85,0.01282
1060,1.849,0.01295
1064,1.848,0.01308
1067,1.846,0.01321
1071,1.845,0.01334
1074,1.844,0.01348
1077,1.843,0.01361
1081,1.841,0.01375
1084,1.84,0.01389
1087,1.839,0.01403
1091,1.838,0.01417
1094,1.836,0.01431
1097,1.835,0.01445
1101,1.834,0.01459
1104,1.833,0.01474
1107,1.831,0.01488
1111,1.83,0.01503
1114,1.829,0.01517
1118,1.828,0.01532
1121,1.826,0.01547
1124,1.825,0.01562
1128,1.824,0.01577
1131,1.822,0.01593
1134,1.821,0.01608
1138,1.82,0.01623
1141,1.819,0.01639
1145,1.817,0.01655
1148,1.816,0.0167
1151,1.815,0.01686
1155,1.813,0.01702
1158,1.812,0.01719
1161,1.811,0.01735
1165,1.809,0.01751
1168,1.808,0.01768
1171,1.807,0.01784
1175,1.805,0.01801
1178,1.804,0.01818
1182,1.803,0.01835
1185,1.801,0.01852
1188,1.8,0.01869
1192,1.799,0.01886
1195,1.797,0.01904
1198,1.796,0.01922
1202,1.794,0.01939
1205,1.793,0.01957
1209,1.792,0.01975
1212,1.79,0.01993
1215,1.789,0.02011
1219,1.788,0.0203
1222,1.786,0.02048
1226,1.785,0.02067
1229,1.783,0.02086
1232,1.782,0.02104
1236,1.781,0.02123
1239,1.779,0.02143
1242,1.778,0.02162
1246,1.776,0.02181
1249,1.775,0.02201
1253,1.773,0.0222
1256,1.772,0.0224
1259,1.771,0.0226
1263,1.769,0.0228
1266,1.768,0.02301
1270,1.766,0.02321
1273,1.765,0.02341
1276,1.763,0.02362
1280,1.762,0.02383
1283,1.76,0.02404
1286,1.759,0.02425
1290,1.757,0.02446
1293,1.756,0.02468
1297,1.754,0.02489
1300,1.753,0.02511
1303,1.751,0.02533
1307,1.75,0.02555
1310,1.748,0.02577
1314,1.747,0.02599
1317,1.745,0.02621
1320,1.744,0.02644
1324,1.742,0.02667
1327,1.741,0.0269
1331,1.739,0.02713
1334,1.738,0.02736
1338,1.736,0.02759
1341,1.735,0.02783
1344,1.733,0.02807
1348,1.731,0.0283
1351,1.73,0.02855
1355,1.728,0.02879
1358,1.727,0.02903
1361,1.725,0.02928
1365,1.724,0.02952
1368,1.722,0.02977
1372,1.72,0.03002
1375,1.719,0.03027
1378,1.717,0.03053
1382,1.716,0.03078
1385,1.714,0.03104
1389,1.712,0.0313
1392,1.711,0.03156
1396,1.709,0.03182
1399,1.707,0.03209
1402,1.706,0.03236
1406,1.704,0.03262
1409,1.702,0.03289
1413,1.701,0.03317
1416,1.699,0.03344
1420,1.697,0.03371
1423,1.696,0.03399
1426,1.694,0.03427
1430,1.692,0.03455
1433,1.691,0.03484
1437,1.689,0.03512
1440,1.687,0.03541
1444,1.686,0.0357
1447,1.684,0.03599
1450,1.682,0.03628
1454,1.68,0.03658
1457,1.679,0.03687
1461,1.677,0.03717
1464,1.675,0.03748
1468,1.673,0.03778
1471,1.672,0.03808
1475,1.67,0.03839
1478,1.668,0.0387
1481,1.666,0.03901
1485,1.665,0.03933
1488,1.663,0.03964
1492,1.661,0.03996
1495,1.659,0.04028
1499,1.657,0.04061
1502,1.656,0.04093
1506,1.654,0.04126
1509,1.652,0.04159
1513,1.65,0.04192
1516,1.648,0.04225
1520,1.646,0.04259
1523,1.645,0.04293
1526,1.643,0.04327
1530,1.641,0.04361
1533,1.639,0.04396
1537,1.637,0.04431
1540,1.635,0.04466
1544,1.633,0.04501
1547,1.631,0.04536
1551,1.63,0.04572
1554,1.628,0.04608
1558,1.626,0.04645
1561,1.624,0.04681
1565,1.622,0.04718
1568,1.62,0.04755
1572,1.618,0.04792
1575,1.616,0.0483
1579,1.614,0.04868
1582,1.612,0.04906
1586,1.61,0.04944
1589,1.608,0.04983
1593,1.606,0.05022
1596,1.604,0.05061
1600,1.602,0.051
1603,1.6,0.0514
1607,1.598,0.0518
1610,1.596,0.0522
1614,1.594,0.05261
1617,1.592,0.05302
1621,1.59,0.05343
1624,1.588,0.05385
1628,1.586,0.05426
1631,1.584,0.05468
1635,1.582,0.05511
1638,1.58,0.05553
1642,1.578,0.05596
1645,1.576,0.05639
1649,1.574,0.05683
