Wavelength (nm),IZrOasdep_n,IZrOasdep_k
595.075843376038,1.980581,0.004851
600.076558154435,1.977046,0.004983
605.077281543923,1.97356,0.005118
610.077696346619,1.97012,0.005255
615.078449784053,1.966723,0.005394
620.07906008016,1.963367,0.005536
625.079710265472,1.960049,0.00568
630.080340324684,1.956766,0.005827
635.080949773804,1.953518,0.005976
640.081600080114,1.950301,0.006128
645.082081492595,1.947114,0.006283
650.082911784273,1.943955,0.00644
655.083660522968,1.940822,0.0066
660.084277857153,1.937714,0.006763
665.08476612616,1.934629,0.006929
670.085543985172,1.931566,0.007097
675.086005412665,1.928523,0.007268
680.086678144044,1.925499,0.007442
685.087414944187,1.922492,0.007619
690.088108668842,1.919502,0.007799
695.088693877894,1.916527,0.007981
700.089148448823,1.913566,0.008167
705.089896118651,1.910619,0.008356
710.090616725154,1.907684,0.008547
715.091015515745,1.904759,0.008742
720.091660699778,1.901846,0.00894
725.092346942654,1.898941,0.009141
730.09289843348,1.896045,0.009345
735.093605871264,1.893156,0.009552
740.094373969687,1.890275,0.009762
745.095140838004,1.887399,0.009976
750.095425446261,1.884529,0.010193
755.09613774415,1.881665,0.010414
760.096875572754,1.878803,0.010637
765.097722723649,1.875946,0.010865
770.098324166679,1.873091,0.011095
775.0988251002,1.870239,0.011329
780.09941234608,1.867388,0.011567
785.100315559675,1.864538,0.011808
790.100801570007,1.861689,0.012053
795.101150973037,1.85884,0.012301
800.102206604457,1.85599,0.012553
805.102793446983,1.85314,0.012808
810.103294703166,1.850288,0.013068
815.104142701071,1.847434,0.013331
820.104735311197,1.844578,0.013598
825.105017902783,1.841719,0.013869
830.106072828419,1.838857,0.014143
835.106250433548,1.835992,0.014422
840.107262727286,1.833122,0.014704
845.10747518008,1.830249,0.014991
850.108114556182,1.82737,0.015281
855.109312623137,1.824487,0.015576
860.109441990127,1.821598,0.015875
865.110444603978,1.818704,0.016178
870.110714571407,1.815803,0.016485
875.111682599816,1.812896,0.016797
880.112370476205,1.809982,0.017113
885.113041069959,1.807062,0.017433
890.113353064179,1.804134,0.017757
895.114264223294,1.801199,0.018086
900.114837231653,1.798255,0.01842
905.115435064902,1.795304,0.018758
910.115790215375,1.792344,0.0191
915.116994755789,1.789375,0.019448
920.117478225123,1.786398,0.0198
925.117691383722,1.783411,0.020156
930.118822679597,1.780415,0.020518
935.119310666242,1.777409,0.020884
940.119683300972,1.774393,0.021255
945.120510487027,1.771368,0.021631
950.120948864337,1.768331,0.022013
955.12160854803,1.765284,0.022399
960.12240012017,1.762227,0.02279
965.123247795394,1.759158,0.023186
970.123330840221,1.756077,0.023588
975.124112066925,1.752986,0.023995
980.124807828352,1.749882,0.024407
985.125400902343,1.746767,0.024825
990.125889715946,1.74364,0.025248
995.127087359318,1.7405,0.025676
1000.1274355926,1.737348,0.02611
1005.12777281518,1.734183,0.02655
1010.12898695467,1.731005,0.026995
1015.12952315928,1.727814,0.027446
1020.13029696487,1.724609,0.027903
1025.13058014124,1.721391,0.028366
1030.13134174607,1.71816,0.028835
1035.13187496609,1.714915,0.02931
1040.13233167471,1.711655,0.02979
1045.13288358905,1.708382,0.030277
1050.13372267323,1.705094,0.030771
1055.13416371257,1.701791,0.03127
1060.13532114406,1.698474,0.031776
1065.13562011079,1.695141,0.032288
1070.13620935316,1.691794,0.032807
1075.13736180366,1.688432,0.033332
1080.13749104967,1.685053,0.033864
1085.13876211921,1.681659,0.034402
1090.1386410191,1.67825,0.034948
1095.13934765022,1.674824,0.0355
1100.14026788416,1.671383,0.036059
1105.1407762188,1.667925,0.036626
1110.14122966047,1.664451,0.037199
1115.14200973771,1.660959,0.03778
1120.14251103431,1.657452,0.038367
1125.14313816939,1.653927,0.038963
1130.14432125264,1.650385,0.039565
1135.14443797534,1.646826,0.040176
1140.14496391533,1.643249,0.040794
1145.14638018306,1.639655,0.041419
1150.14706114237,1.636043,0.042053
1155.14748625002,1.632412,0.042694
1160.14816214755,1.628764,0.043344
1165.14852824827,1.625098,0.044001
1170.14911851912,1.621413,0.044667
1175.1493813881,1.617709,0.045341
1180.1510022242,1.613986,0.046024
1185.15120235501,1.610245,0.046715
1190.15168675208,1.606484,0.047415
1195.15192405002,1.602704,0.048123
1200.1525355158,1.598905,0.048841
1205.15417226318,1.595086,0.049567
1210.1539725744,1.591247,0.050302
1215.15494205475,1.587388,0.051047
1220.15539269324,1.583509,0.051801
1225.15600978544,1.57961,0.052564
1230.15628937244,1.57569,0.053338
1235.15694960062,1.571749,0.05412
1240.1575000025,1.567788,0.054913
1245.15869246287,1.563805,0.055715
1250.15879033022,1.559801,0.056528
1255.1598203097,1.555776,0.057351
1260.16004032512,1.55173,0.058184
1265.16153255954,1.547661,0.059028
1270.16255007667,1.543571,0.059883
1275.16260894156,1.539459,0.060748
1280.1638609742,1.535324,0.061624
1285.16320536286,1.531167,0.062512
1290.16416298519,1.526987,0.06341
1295.16496119205,1.522784,0.064321
1300.16514194343,1.518558,0.065242
1305.16698769564,1.514309,0.066176
1310.16732104594,1.510036,0.067121
1315.16705803493,1.50574,0.068079
1320.16855571431,1.501419,0.069049
1325.16858495506,1.497075,0.070031
1330.16953225232,1.492707,0.071026
1335.16955038165,1.488314,0.072034
1340.17108797034,1.483897,0.073055
1345.17083669626,1.479454,0.074089
1350.17274589204,1.474987,0.075137
1355.1734840636,1.470494,0.076198
