Wavelength (nm),MoOxALD_n,MoOxALD_k
939.8,2.081,0.0147
941.4,2.081,0.0146
943,2.081,0.0146
944.6,2.081,0.0145
946.1,2.081,0.0144
947.7,2.081,0.0143
949.3,2.081,0.0142
950.8,2.081,0.0141
952.4,2.081,0.014
954,2.081,0.0139
955.5,2.081,0.0138
957.1,2.081,0.0137
958.7,2.081,0.0136
960.2,2.081,0.0135
961.8,2.081,0.0134
963.4,2.081,0.0133
964.9,2.081,0.0132
966.5,2.081,0.0131
968.1,2.081,0.013
969.6,2.081,0.0129
971.2,2.081,0.0128
972.8,2.081,0.0127
974.3,2.081,0.0126
975.9,2.081,0.0125
977.5,2.081,0.0124
979,2.081,0.0123
980.6,2.081,0.0122
982.1,2.081,0.0121
983.7,2.08,0.012
985.3,2.08,0.0119
986.8,2.08,0.0118
988.4,2.08,0.0117
990,2.08,0.0116
991.5,2.08,0.0115
993.1,2.08,0.0114
994.7,2.08,0.0113
996.2,2.08,0.0112
997.8,2.08,0.0111
999.3,2.08,0.011
1010,2.08,0.0103
1013,2.08,0.0101
1017,2.079,0.00988
1020,2.079,0.00967
1023,2.079,0.00947
1027,2.079,0.00927
1030,2.079,0.00907
1034,2.079,0.00888
1037,2.079,0.00869
1040,2.079,0.0085
1044,2.078,0.00831
1047,2.078,0.00812
1050,2.078,0.00794
1054,2.078,0.00776
1057,2.078,0.00758
1060,2.078,0.00741
1064,2.077,0.00723
1067,2.077,0.00706
1071,2.077,0.0069
1074,2.077,0.00673
1077,2.077,0.00657
1081,2.077,0.00642
1084,2.076,0.00626
1087,2.076,0.00611
1091,2.076,0.00596
1094,2.076,0.00581
1097,2.076,0.00567
1101,2.076,0.00553
1104,2.075,0.00539
1107,2.075,0.00526
1111,2.075,0.00513
1114,2.075,0.005
1118,2.075,0.00487
1122,2.075,0.00474
1126,2.075,0.00461
1130,2.075,0.00448
1134,2.075,0.00435
1138,2.075,0.00422
1142,2.075,0.00409
1146,2.075,0.00396
1150,2.075,0.00383
1154,2.075,0.0037
1158,2.075,0.00357
1162,2.075,0.00344
1166,2.075,0.00331
1170,2.075,0.00318
1174,2.075,0.00305
1178,2.075,0.00292
1182,2.075,0.00279
1186,2.075,0.00266
1190,2.075,0.00253
1194,2.075,0.0024
1198,2.075,0.00227
1202,2.075,0.00214
1206,2.075,0.00201
1210,2.075,0.00188
1214,2.075,0.00175
1218,2.075,0.00162
1222,2.075,0.00149
1226,2.075,0.00136
1230,2.075,0.00123
1234,2.075,0.0011
1238,2.075,0.00097
1242,2.075,0.00084
1246,2.075,0.00071
1250,2.075,0.00058
1254,2.075,0.00045
1258,2.075,0.00032
1262,2.075,0.00019
1266,2.075,6.00000000000002E-05
1270,2.075,-6.99999999999997E-05
1274,2.075,-0.0002
1278,2.075,-0.00033
1282,2.075,-0.000459999999999999
1286,2.075,-0.00059
1290,2.075,-0.00072
1294,2.075,-0.00085
1298,2.075,-0.00098
1302,2.075,-0.00111
1306,2.075,-0.00124
