"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
530,1.49517226,530,2.40175e-7,0.056945812496296495,,
531,1.49567819,531,2.56008e-7,0.060585525578923986,,
532,1.49523175,532,2.46335e-7,0.0581867839339881,,
533,1.49555206,533,2.5271e-7,0.05958062885468493,,
534,1.49495256,534,2.4054e-7,0.056605145834793175,,
535,1.494944,535,2.41163e-7,0.05664567544805049,,
536,1.494752,536,2.33218e-7,0.05467731011081376,,
537,1.49496186,537,2.42334e-7,0.05670873103277683,,
538,1.49440753,538,2.29803e-7,0.05367638784928589,,
539,1.49518776,539,2.38166e-7,0.05552657186900681,,
540,1.494822,540,2.54414e-7,0.059204826175584715,,
541,1.4948746,541,2.22039e-7,0.05157531173459697,,
542,1.49465811,542,2.39929e-7,0.055627984043036566,,
543,1.49471951,543,2.27682e-7,0.05269127797824171,,
544,1.49513614,544,2.46423e-7,0.056923579887908644,,
545,1.494603,545,2.43701e-7,0.05619150614843936,,
546,1.49508643,546,2.44652e-7,0.056307467097879135,,
547,1.49483883,547,2.51567e-7,0.057793129000776856,,
548,1.494792,548,2.10967e-7,0.0483775457919619,,
549,1.49441457,549,2.30293e-7,0.052713063531741655,,
550,1.494596,550,2.35105e-7,0.053716664787071156,,
551,1.49441719,551,2.284e-7,0.05209000087694438,,
552,1.49472785,552,2.45979e-7,0.05599752314038867,,
553,1.49417078,553,2.26945e-7,0.0515709761134854,,
554,1.49382639,554,2.28835e-7,0.05190659602052133,,
555,1.49407887,555,2.23535e-7,0.05061303883388788,,
556,1.49466646,556,2.34244e-7,0.05294239061492716,,
557,1.49434578,557,2.36707e-7,0.05340301416540605,,
558,1.494171,558,2.08904e-7,0.0470459692978869,,
559,1.49429691,559,2.38945e-7,0.05371505235148574,,
560,1.49405265,560,2.19734e-7,0.04930819429599283,,
561,1.49400449,561,2.3139e-7,0.05183123879601728,,
562,1.49428821,562,2.29594e-7,0.05133742517496762,,
563,1.494296,563,2.36414e-7,0.052768489208225744,,
564,1.49360979,564,2.1796e-7,0.04856322941676818,,
565,1.49429059,565,2.32954e-7,0.05181214690437924,,
566,1.49388731,566,2.08644e-7,0.046323283223716524,,
567,1.493506,567,2.28358e-7,0.05061078061294237,,
