Wavelength (nm),ITOsput030E20_n,ITOsput030E20_k
1665,1.988,0.00686
1670,1.988,0.00692
1675,1.987,0.00698
1680,1.987,0.00705
1685,1.987,0.00711
1690,1.986,0.00718
1695,1.986,0.00724
1700,1.986,0.0073
1705,1.985,0.00737
1710,1.985,0.00743
1715,1.985,0.0075
1720,1.984,0.00757
1725,1.984,0.00763
1730,1.983,0.0077
1735,1.983,0.00777
1740,1.983,0.00784
1745,1.982,0.0079
1750,1.982,0.00797
1755,1.982,0.00804
1760,1.981,0.00811
1765,1.981,0.00818
1770,1.981,0.00825
1775,1.98,0.00832
1780,1.98,0.00839
1785,1.98,0.00846
1790,1.979,0.00854
1795,1.979,0.00861
1800,1.979,0.00868
1805,1.978,0.00875
1810,1.978,0.00883
1815,1.977,0.0089
1820,1.977,0.00898
1825,1.977,0.00905
1830,1.976,0.00912
1835,1.976,0.0092
1840,1.976,0.00928
1845,1.975,0.00935
1850,1.975,0.00943
1855,1.975,0.00951
1860,1.974,0.00958
1865,1.974,0.00966
1870,1.973,0.00974
1875,1.973,0.00982
1880,1.973,0.0099
1885,1.972,0.00998
1890,1.972,0.01006
1895,1.972,0.01014
1900,1.971,0.01022
1905,1.971,0.0103
1910,1.971,0.01038
1915,1.97,0.01047
1920,1.97,0.01055
1925,1.969,0.01063
1930,1.969,0.01072
1935,1.969,0.0108
1940,1.968,0.01088
1945,1.968,0.01097
1950,1.968,0.01105
1955,1.967,0.01114
1960,1.967,0.01123
1965,1.966,0.01131
1970,1.966,0.0114
1975,1.966,0.01149
1980,1.965,0.01158
1985,1.965,0.01166
1990,1.965,0.01175
1995,1.964,0.01184
2000,1.964,0.01193
