Wavelength (nm),IZrO_n,IZrO_k
640.081600080114,1.911864,0.002472
645.082081492595,1.909421,0.002533
650.082911784273,1.907003,0.002596
655.083660522968,1.904608,0.00266
660.084277857153,1.902236,0.002724
665.08476612616,1.899885,0.00279
670.085543985172,1.897553,0.002857
675.086005412665,1.895241,0.002925
680.086678144044,1.892946,0.002994
685.087414944187,1.890669,0.003064
690.088108668842,1.888406,0.003135
695.088693877894,1.886159,0.003208
700.089148448823,1.883926,0.003281
705.089896118651,1.881707,0.003356
710.090616725154,1.8795,0.003432
715.091015515745,1.877304,0.003509
720.091660699778,1.87512,0.003587
725.092346942654,1.872946,0.003666
730.09289843348,1.870781,0.003747
735.093605871264,1.868625,0.003829
740.094373969687,1.866478,0.003912
745.095140838004,1.864338,0.003996
750.095425446261,1.862206,0.004082
755.09613774415,1.86008,0.004169
760.096875572754,1.85796,0.004257
765.097722723649,1.855846,0.004346
770.098324166679,1.853737,0.004437
775.0988251002,1.851632,0.004529
780.09941234608,1.849532,0.004623
785.100315559675,1.847435,0.004717
790.100801570007,1.845342,0.004813
795.101150973037,1.843251,0.004911
800.102206604457,1.841163,0.00501
805.102793446983,1.839077,0.00511
810.103294703166,1.836993,0.005211
815.104142701071,1.83491,0.005314
820.104735311197,1.832828,0.005419
825.105017902783,1.830747,0.005525
830.106072828419,1.828666,0.005632
835.106250433548,1.826585,0.005741
840.107262727286,1.824504,0.005851
845.10747518008,1.822422,0.005963
850.108114556182,1.820339,0.006076
855.109312623137,1.818255,0.006191
860.109441990127,1.81617,0.006307
865.110444603978,1.814083,0.006425
870.110714571407,1.811994,0.006544
875.111682599816,1.809903,0.006665
880.112370476205,1.80781,0.006788
885.113041069959,1.805713,0.006912
890.113353064179,1.803614,0.007038
895.114264223294,1.801512,0.007166
900.114837231653,1.799406,0.007295
905.115435064902,1.797297,0.007425
910.115790215375,1.795184,0.007558
915.116994755789,1.793067,0.007692
920.117478225123,1.790946,0.007828
925.117691383722,1.78882,0.007965
930.118822679597,1.78669,0.008105
935.119310666242,1.784555,0.008246
940.119683300972,1.782415,0.008389
945.120510487027,1.780271,0.008533
950.120948864337,1.778121,0.00868
955.12160854803,1.775965,0.008828
960.12240012017,1.773804,0.008978
965.123247795394,1.771637,0.00913
970.123330840221,1.769464,0.009284
975.124112066925,1.767285,0.009439
980.124807828352,1.7651,0.009597
985.125400902343,1.762909,0.009756
990.125889715946,1.76071,0.009918
995.127087359318,1.758506,0.010081
1000.1274355926,1.756294,0.010246
1005.12777281518,1.754076,0.010414
1010.12898695467,1.75185,0.010583
1015.12952315928,1.749617,0.010754
1020.13029696487,1.747377,0.010928
1025.13058014124,1.74513,0.011103
1030.13134174607,1.742874,0.011281
1035.13187496609,1.740612,0.01146
1040.13233167471,1.738341,0.011642
1045.13288358905,1.736062,0.011826
1050.13372267323,1.733775,0.012012
1055.13416371257,1.73148,0.0122
1060.13532114406,1.729177,0.01239
1065.13562011079,1.726865,0.012583
1070.13620935316,1.724545,0.012778
1075.13736180366,1.722216,0.012975
1080.13749104967,1.719878,0.013174
1085.13876211921,1.717531,0.013376
1090.1386410191,1.715176,0.01358
1095.13934765022,1.712811,0.013786
1100.14026788416,1.710437,0.013995
1105.1407762188,1.708054,0.014206
1110.14122966047,1.705661,0.014419
1115.14200973771,1.703259,0.014635
1120.14251103431,1.700847,0.014854
1125.14313816939,1.698426,0.015074
1130.14432125264,1.695994,0.015298
1135.14443797534,1.693553,0.015523
1140.14496391533,1.691102,0.015752
1145.14638018306,1.68864,0.015983
1150.14706114237,1.686168,0.016216
1155.14748625002,1.683686,0.016452
1160.14816214755,1.681194,0.016691
1165.14852824827,1.678691,0.016932
1170.14911851912,1.676177,0.017177
1175.1493813881,1.673654,0.017423
1180.1510022242,1.671119,0.017673
1185.15120235501,1.668573,0.017925
1190.15168675208,1.666015,0.01818
1195.15192405002,1.663447,0.018438
1200.1525355158,1.660868,0.018699
1205.15417226318,1.658278,0.018963
1210.1539725744,1.655676,0.019229
1215.15494205475,1.653063,0.019499
1220.15539269324,1.650438,0.019771
1225.15600978544,1.647802,0.020046
1230.15628937244,1.645154,0.020325
1235.15694960062,1.642493,0.020606
1240.1575000025,1.639822,0.020891
1245.15869246287,1.637138,0.021178
1250.15879033022,1.634442,0.021469
1255.1598203097,1.631734,0.021763
1260.16004032512,1.629013,0.02206
1265.16153255954,1.62628,0.022361
1270.16255007667,1.623535,0.022664
1275.16260894156,1.620777,0.022971
1280.1638609742,1.618007,0.023281
1285.16320536286,1.615224,0.023595
1290.16416298519,1.612427,0.023912
1295.16496119205,1.609619,0.024232
1300.16514194343,1.606796,0.024556
1305.16698769564,1.603961,0.024884
1310.16732104594,1.601113,0.025215
1315.16705803493,1.598251,0.025549
1320.16855571431,1.595376,0.025887
1325.16858495506,1.592487,0.026229
1330.16953225232,1.589585,0.026575
1335.16955038165,1.586669,0.026924
1340.17108797034,1.58374,0.027277
1345.17083669626,1.580796,0.027634
1350.17274589204,1.577838,0.027994
1355.1734840636,1.574867,0.028359
