"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
1072,1.59914,1072,0,0,,
1074,1.5991,1074,0,0,,
1076,1.59906,1076,0,0,,
1078,1.59902,1078,0,0,,
1080,1.59898,1080,0,0,,
1082,1.59894,1082,0,0,,
1084,1.5989,1084,0,0,,
1086,1.59886,1086,0,0,,
1088,1.59882,1088,0,0,,
1090,1.59878,1090,0,0,,
1092,1.59874,1092,0,0,,
1094,1.5987,1094,0,0,,
1096,1.59867,1096,0,0,,
1098,1.59863,1098,0,0,,
1100,1.59859,1100,0,0,,
